"","plot_id","Albizia_antunesiana","Baikiaea_plurijuga","Baphia_bequaertii","Baphia_massaiensis","Bobgunnia_madagascariensis","Brachystegia_indet","Brachystegia_spiciformis","Brachystegia_tamarindoides","Bridelia_mollis","Burkea_africana","Combretum_apiculatum","Combretum_celastroides","Combretum_collinum","Combretum_hereroense","Combretum_indet","Combretum_psidioides","Combretum_zeyheri","Commiphora_mossambicensis","Croton_gratissimus","Cussonia_indet","Dalbergia_indet","Diospyros_batocana","Diospyros_kirkii","Diplorhynchus_condylocarpon","Dombeya_rotundifolia","Elachyptera_parvifolia","Entandrophragma_spicatum","Erythrophleum_africanum","Gardenia_volkensii","Guibourtia_coleosperma","Hexalobus_monopetalus","Hymenocardia_acida","Julbernardia_paniculata","Lannea_indet","Monotes_glaber","Ochna_pulchra","Oldfieldia_dactylophylla","Pavetta_indet","Pericopsis_angolensis","Philenoptera_nelsii","Phyllanthus_reticulatus","Pseudolachnostylis_maprouneifolia","Pteleopsis_anisoptera","Pterocarpus_angolensis","Pterocarpus_lucens","Pterocarpus_rotundifolius","Rothmannia_engleriana","Schinziophyton_rautanenii","Securidaca_longipedunculata","Strychnos_cocculoides","Strychnos_pungens","Strychnos_spinosa","Terminalia_brachystemma","Terminalia_sericea","Ximenia_americana","Zanha_africana","Ziziphus_abyssinica"
"1","ABG_1",3,0,0,0,40,0,0,0,0,90,0,0,85,0,1,0,0,0,0,0,0,0,12,94,2,0,0,37,4,0,0,7,67,0,0,0,1,0,10,0,0,31,0,22,0,0,3,0,0,16,2,51,46,0,0,7,2
"2","ABG_10",7,0,0,0,0,0,24,0,0,166,0,0,25,7,2,0,18,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,119,0,0,0,0,0,11,0,0,8,1,6,0,0,0,0,0,1,0,7,90,10,0,0,0
"3","ABG_11",2,4,10,12,0,3,518,0,0,101,0,0,12,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,1,0,0
"4","ABG_12",0,76,27,102,0,0,106,0,0,15,50,0,40,2,0,0,12,0,0,0,0,0,0,0,0,0,0,26,0,3,1,0,0,0,0,16,0,0,0,32,0,1,2,0,0,0,0,0,0,0,3,0,0,5,3,0,0
"5","ABG_13",0,79,0,106,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ABG_14",0,0,17,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,136,0,0,0,0,0,16,10,0,6,6,90,0,0,1,3,0,1,0,5,0,1,0,0,0
"7","ABG_15",0,111,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ABG_16",4,0,0,0,0,0,0,316,3,0,0,0,150,0,0,0,7,2,0,3,0,0,72,111,0,0,1,0,29,0,0,0,11,17,0,1,0,2,4,0,0,4,20,0,0,1,0,0,0,0,0,2,23,6,1,0,0
"9","ABG_18",0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"10","ABG_19",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
