"","plot_id","Albizia_antunesiana","Baikiaea_plurijuga","Baphia_bequaertii","Baphia_massaiensis","Bobgunnia_madagascariensis","Brachystegia_spiciformis","Brachystegia_tamarindoides","Bridelia_mollis","Burkea_africana","Combretum_collinum","Combretum_zeyheri","Diospyros_kirkii","Diplorhynchus_condylocarpon","Erythrophleum_africanum","Guibourtia_coleosperma","Hexalobus_monopetalus","Julbernardia_paniculata","Ochna_pulchra","Pericopsis_angolensis","Philenoptera_nelsii","Pseudolachnostylis_maprouneifolia","Pteleopsis_anisoptera","Pterocarpus_angolensis","Strychnos_pungens","Strychnos_spinosa","Terminalia_brachystemma","Terminalia_sericea","Ximenia_americana","Ziziphus_abyssinica"
"1","ABG_1",3,0,0,0,40,0,0,0,90,85,0,12,94,37,0,0,67,0,10,0,31,0,22,2,51,46,0,0,2
"2","ABG_10",7,0,0,0,0,24,0,0,166,25,18,0,10,0,6,0,119,0,11,0,8,1,6,0,7,90,10,0,0
"3","ABG_11",2,4,10,12,0,518,0,0,101,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0
"4","ABG_12",0,76,27,102,0,106,0,0,15,40,12,0,0,26,3,1,0,16,0,32,1,2,0,3,0,0,5,3,0
"5","ABG_13",0,79,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"6","ABG_14",0,0,17,0,0,0,0,0,8,0,0,0,41,0,0,0,136,0,16,10,6,6,90,0,5,0,1,0,0
"7","ABG_15",0,111,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"8","ABG_16",4,0,0,0,0,0,316,3,0,150,7,72,111,0,0,0,11,1,4,0,4,20,0,0,2,23,6,1,0
"9","ABG_18",0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
"10","ABG_19",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"11","ABG_2",0,0,0,2,0,0,0,0,40,155,28,0,5,0,1,0,88,1,1,33,1,0,0,0,2,38,4,0,0
"12","ABG_3",0,0,0,16,1,1,0,0,59,6,11,0,9,0,0,0,504,2,1,13,14,1,4,0,6,8,9,3,0
"13","ABG_4",0,10,105,30,2,106,0,0,173,75,4,0,1,0,2,0,0,10,0,22,1,34,1,0,0,0,23,0,0
"14","ABG_5",0,0,0,1,0,102,0,0,28,1,0,0,34,0,0,0,300,0,71,9,0,34,5,0,6,6,2,0,0
"15","ABG_6",1,0,0,1,1,17,0,0,9,14,0,0,9,3,0,0,553,0,20,35,4,92,0,7,3,0,5,0,0
"16","ABG_7",7,0,0,3,0,12,0,23,56,277,7,0,1,29,24,0,3,0,0,5,16,0,0,5,2,0,152,5,0
"17","ABG_8",0,0,0,1,0,0,0,0,247,36,1,0,13,58,0,0,176,0,2,0,37,0,1,0,7,11,69,0,0
"18","ABG_9",0,145,0,101,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0
